Statistic Label,Year,Age Group,Sex,Road User Type,UNIT,VALUE
Killed Casualties,2017,10 - 14 years,Male,All road users,Number,0
Killed Casualties,2017,10 - 14 years,Male,Pedestrians,Number,0
Killed Casualties,2017,10 - 14 years,Male,Pedal cyclists,Number,0
Killed Casualties,2017,10 - 14 years,Male,Motor cyclists,Number,0
Killed Casualties,2017,10 - 14 years,Male,All Car users,Number,0
Killed Casualties,2017,10 - 14 years,Male,Car drivers,Number,0
Killed Casualties,2017,10 - 14 years,Male,Car passengers,Number,0
Killed Casualties,2017,10 - 14 years,Male,Other road users,Number,0
Killed Casualties,2017,10 - 14 years,Female,All road users,Number,0
Killed Casualties,2017,10 - 14 years,Female,Pedestrians,Number,0
Killed Casualties,2017,10 - 14 years,Female,Pedal cyclists,Number,0
Killed Casualties,2017,10 - 14 years,Female,Motor cyclists,Number,0
Killed Casualties,2017,10 - 14 years,Female,All Car users,Number,0
Killed Casualties,2017,10 - 14 years,Female,Car drivers,Number,0
Killed Casualties,2017,10 - 14 years,Female,Car passengers,Number,0
Killed Casualties,2017,10 - 14 years,Female,Other road users,Number,0
Killed Casualties,2017,15 - 17 years,Male,All road users,Number,4
Killed Casualties,2017,15 - 17 years,Male,Pedestrians,Number,1
Killed Casualties,2017,15 - 17 years,Male,Pedal cyclists,Number,0
Killed Casualties,2017,15 - 17 years,Male,Motor cyclists,Number,0
Killed Casualties,2017,15 - 17 years,Male,All Car users,Number,2
Killed Casualties,2017,15 - 17 years,Male,Car drivers,Number,0
Killed Casualties,2017,15 - 17 years,Male,Car passengers,Number,2
Killed Casualties,2017,15 - 17 years,Male,Other road users,Number,1
Killed Casualties,2017,15 - 17 years,Female,All road users,Number,0
Killed Casualties,2017,15 - 17 years,Female,Pedestrians,Number,0
Killed Casualties,2017,15 - 17 years,Female,Pedal cyclists,Number,0
Killed Casualties,2017,15 - 17 years,Female,Motor cyclists,Number,0
Killed Casualties,2017,15 - 17 years,Female,All Car users,Number,0
Killed Casualties,2017,15 - 17 years,Female,Car drivers,Number,0
Killed Casualties,2017,15 - 17 years,Female,Car passengers,Number,0
Killed Casualties,2017,15 - 17 years,Female,Other road users,Number,0
Killed Casualties,2017,18 - 20 years,Male,All road users,Number,9
Killed Casualties,2017,18 - 20 years,Male,Pedestrians,Number,1
Killed Casualties,2017,18 - 20 years,Male,Pedal cyclists,Number,0
Killed Casualties,2017,18 - 20 years,Male,Motor cyclists,Number,1
Killed Casualties,2017,18 - 20 years,Male,All Car users,Number,7
Killed Casualties,2017,18 - 20 years,Male,Car drivers,Number,4
Killed Casualties,2017,18 - 20 years,Male,Car passengers,Number,3
Killed Casualties,2017,18 - 20 years,Male,Other road users,Number,0
Killed Casualties,2017,18 - 20 years,Female,All road users,Number,2
Killed Casualties,2017,18 - 20 years,Female,Pedestrians,Number,0
Killed Casualties,2017,18 - 20 years,Female,Pedal cyclists,Number,0
Killed Casualties,2017,18 - 20 years,Female,Motor cyclists,Number,0
Killed Casualties,2017,18 - 20 years,Female,All Car users,Number,2
Killed Casualties,2017,18 - 20 years,Female,Car drivers,Number,0
Killed Casualties,2017,18 - 20 years,Female,Car passengers,Number,2
Killed Casualties,2017,18 - 20 years,Female,Other road users,Number,0
Killed Casualties,2017,21 - 24 years,Male,All road users,Number,11
Killed Casualties,2017,21 - 24 years,Male,Pedestrians,Number,1
Killed Casualties,2017,21 - 24 years,Male,Pedal cyclists,Number,0
Killed Casualties,2017,21 - 24 years,Male,Motor cyclists,Number,0
Killed Casualties,2017,21 - 24 years,Male,All Car users,Number,9
Killed Casualties,2017,21 - 24 years,Male,Car drivers,Number,9
Killed Casualties,2017,21 - 24 years,Male,Car passengers,Number,0
Killed Casualties,2017,21 - 24 years,Male,Other road users,Number,1
Killed Casualties,2017,21 - 24 years,Female,All road users,Number,0
Killed Casualties,2017,21 - 24 years,Female,Pedestrians,Number,0
Killed Casualties,2017,21 - 24 years,Female,Pedal cyclists,Number,0
Killed Casualties,2017,21 - 24 years,Female,Motor cyclists,Number,0
Killed Casualties,2017,21 - 24 years,Female,All Car users,Number,0
Killed Casualties,2017,21 - 24 years,Female,Car drivers,Number,0
Killed Casualties,2017,21 - 24 years,Female,Car passengers,Number,0
Killed Casualties,2017,21 - 24 years,Female,Other road users,Number,0
Killed Casualties,2017,25 - 34 years,Male,All road users,Number,28
Killed Casualties,2017,25 - 34 years,Male,Pedestrians,Number,6
Killed Casualties,2017,25 - 34 years,Male,Pedal cyclists,Number,2
Killed Casualties,2017,25 - 34 years,Male,Motor cyclists,Number,7
Killed Casualties,2017,25 - 34 years,Male,All Car users,Number,9
Killed Casualties,2017,25 - 34 years,Male,Car drivers,Number,8
Killed Casualties,2017,25 - 34 years,Male,Car passengers,Number,1
Killed Casualties,2017,25 - 34 years,Male,Other road users,Number,4
Killed Casualties,2017,25 - 34 years,Female,All road users,Number,5
Killed Casualties,2017,25 - 34 years,Female,Pedestrians,Number,1
Killed Casualties,2017,25 - 34 years,Female,Pedal cyclists,Number,1
Killed Casualties,2017,25 - 34 years,Female,Motor cyclists,Number,1
Killed Casualties,2017,25 - 34 years,Female,All Car users,Number,2
Killed Casualties,2017,25 - 34 years,Female,Car drivers,Number,2
Killed Casualties,2017,25 - 34 years,Female,Car passengers,Number,0
Killed Casualties,2017,25 - 34 years,Female,Other road users,Number,0
Killed Casualties,2017,35 - 44 years,Male,All road users,Number,19
Killed Casualties,2017,35 - 44 years,Male,Pedestrians,Number,5
Killed Casualties,2017,35 - 44 years,Male,Pedal cyclists,Number,1
Killed Casualties,2017,35 - 44 years,Male,Motor cyclists,Number,3
Killed Casualties,2017,35 - 44 years,Male,All Car users,Number,10
Killed Casualties,2017,35 - 44 years,Male,Car drivers,Number,8
Killed Casualties,2017,35 - 44 years,Male,Car passengers,Number,2
Killed Casualties,2017,35 - 44 years,Male,Other road users,Number,0
Killed Casualties,2017,35 - 44 years,Female,All road users,Number,5
Killed Casualties,2017,35 - 44 years,Female,Pedestrians,Number,0
Killed Casualties,2017,35 - 44 years,Female,Pedal cyclists,Number,1
Killed Casualties,2017,35 - 44 years,Female,Motor cyclists,Number,0
Killed Casualties,2017,35 - 44 years,Female,All Car users,Number,4
Killed Casualties,2017,35 - 44 years,Female,Car drivers,Number,3
Killed Casualties,2017,35 - 44 years,Female,Car passengers,Number,1
Killed Casualties,2017,35 - 44 years,Female,Other road users,Number,0
Killed Casualties,2017,45 - 54 years,Male,All road users,Number,17
Killed Casualties,2017,45 - 54 years,Male,Pedestrians,Number,3
Killed Casualties,2017,45 - 54 years,Male,Pedal cyclists,Number,5
Killed Casualties,2017,45 - 54 years,Male,Motor cyclists,Number,6
Killed Casualties,2017,45 - 54 years,Male,All Car users,Number,3
Killed Casualties,2017,45 - 54 years,Male,Car drivers,Number,2
Killed Casualties,2017,45 - 54 years,Male,Car passengers,Number,1
Killed Casualties,2017,45 - 54 years,Male,Other road users,Number,0
Killed Casualties,2017,45 - 54 years,Female,All road users,Number,5
Killed Casualties,2017,45 - 54 years,Female,Pedestrians,Number,3
Killed Casualties,2017,45 - 54 years,Female,Pedal cyclists,Number,1
Killed Casualties,2017,45 - 54 years,Female,Motor cyclists,Number,0
Killed Casualties,2017,45 - 54 years,Female,All Car users,Number,1
Killed Casualties,2017,45 - 54 years,Female,Car drivers,Number,1
Killed Casualties,2017,45 - 54 years,Female,Car passengers,Number,0
Killed Casualties,2017,45 - 54 years,Female,Other road users,Number,0
Killed Casualties,2017,55 - 64 years,Male,All road users,Number,9
Killed Casualties,2017,55 - 64 years,Male,Pedestrians,Number,1
Killed Casualties,2017,55 - 64 years,Male,Pedal cyclists,Number,1
Killed Casualties,2017,55 - 64 years,Male,Motor cyclists,Number,0
Killed Casualties,2017,55 - 64 years,Male,All Car users,Number,3
Killed Casualties,2017,55 - 64 years,Male,Car drivers,Number,2
Killed Casualties,2017,55 - 64 years,Male,Car passengers,Number,1
Killed Casualties,2017,55 - 64 years,Male,Other road users,Number,4
Killed Casualties,2017,55 - 64 years,Female,All road users,Number,4
Killed Casualties,2017,55 - 64 years,Female,Pedestrians,Number,0
Killed Casualties,2017,55 - 64 years,Female,Pedal cyclists,Number,0
Killed Casualties,2017,55 - 64 years,Female,Motor cyclists,Number,0
Killed Casualties,2017,55 - 64 years,Female,All Car users,Number,4
Killed Casualties,2017,55 - 64 years,Female,Car drivers,Number,2
Killed Casualties,2017,55 - 64 years,Female,Car passengers,Number,2
Killed Casualties,2017,55 - 64 years,Female,Other road users,Number,0
Killed Casualties,2017,65 years and over,Male,All road users,Number,16
Killed Casualties,2017,65 years and over,Male,Pedestrians,Number,5
Killed Casualties,2017,65 years and over,Male,Pedal cyclists,Number,0
Killed Casualties,2017,65 years and over,Male,Motor cyclists,Number,2
Killed Casualties,2017,65 years and over,Male,All Car users,Number,7
Killed Casualties,2017,65 years and over,Male,Car drivers,Number,6
Killed Casualties,2017,65 years and over,Male,Car passengers,Number,1
Killed Casualties,2017,65 years and over,Male,Other road users,Number,2
Killed Casualties,2017,65 years and over,Female,All road users,Number,18
Killed Casualties,2017,65 years and over,Female,Pedestrians,Number,3
Killed Casualties,2017,65 years and over,Female,Pedal cyclists,Number,2
Killed Casualties,2017,65 years and over,Female,Motor cyclists,Number,0
Killed Casualties,2017,65 years and over,Female,All Car users,Number,13
Killed Casualties,2017,65 years and over,Female,Car drivers,Number,7
Killed Casualties,2017,65 years and over,Female,Car passengers,Number,6
Killed Casualties,2017,65 years and over,Female,Other road users,Number,0
Killed Casualties,2017,Age unknown,Male,All road users,Number,0
Killed Casualties,2017,Age unknown,Male,Pedestrians,Number,0
Killed Casualties,2017,Age unknown,Male,Pedal cyclists,Number,0
Killed Casualties,2017,Age unknown,Male,Motor cyclists,Number,0
Killed Casualties,2017,Age unknown,Male,All Car users,Number,0
Killed Casualties,2017,Age unknown,Male,Car drivers,Number,0
Killed Casualties,2017,Age unknown,Male,Car passengers,Number,0
Killed Casualties,2017,Age unknown,Male,Other road users,Number,0
Killed Casualties,2017,Age unknown,Female,All road users,Number,0
Killed Casualties,2017,Age unknown,Female,Pedestrians,Number,0
Killed Casualties,2017,Age unknown,Female,Pedal cyclists,Number,0
Killed Casualties,2017,Age unknown,Female,Motor cyclists,Number,0
Killed Casualties,2017,Age unknown,Female,All Car users,Number,0
Killed Casualties,2017,Age unknown,Female,Car drivers,Number,0
Killed Casualties,2017,Age unknown,Female,Car passengers,Number,0
Killed Casualties,2017,Age unknown,Female,Other road users,Number,0
Killed Casualties,2018,All ages,Male,All road users,Number,109
Killed Casualties,2018,All ages,Male,Pedestrians,Number,29
Killed Casualties,2018,All ages,Male,Pedal cyclists,Number,9
Killed Casualties,2018,All ages,Male,Motor cyclists,Number,15
Killed Casualties,2018,All ages,Male,All Car users,Number,47
Killed Casualties,2018,All ages,Male,Car drivers,Number,37
Killed Casualties,2018,All ages,Male,Car passengers,Number,10
Killed Casualties,2018,All ages,Male,Other road users,Number,9
Killed Casualties,2018,All ages,Female,All road users,Number,30
Killed Casualties,2018,All ages,Female,Pedestrians,Number,13
Killed Casualties,2018,All ages,Female,Pedal cyclists,Number,0
Killed Casualties,2018,All ages,Female,Motor cyclists,Number,0
Killed Casualties,2018,All ages,Female,All Car users,Number,14
Killed Casualties,2018,All ages,Female,Car drivers,Number,8
Killed Casualties,2018,All ages,Female,Car passengers,Number,6
Killed Casualties,2018,All ages,Female,Other road users,Number,3
Killed Casualties,2018,0 - 5 years,Male,All road users,Number,0
Killed Casualties,2018,0 - 5 years,Male,Pedestrians,Number,0
Killed Casualties,2018,0 - 5 years,Male,Pedal cyclists,Number,0
Killed Casualties,2018,0 - 5 years,Male,Motor cyclists,Number,0
Killed Casualties,2018,0 - 5 years,Male,All Car users,Number,0
Killed Casualties,2018,0 - 5 years,Male,Car drivers,Number,0
Killed Casualties,2018,0 - 5 years,Male,Car passengers,Number,0
Killed Casualties,2018,0 - 5 years,Male,Other road users,Number,0
Killed Casualties,2018,0 - 5 years,Female,All road users,Number,1
Killed Casualties,2018,0 - 5 years,Female,Pedestrians,Number,0
Killed Casualties,2018,0 - 5 years,Female,Pedal cyclists,Number,0
Killed Casualties,2018,0 - 5 years,Female,Motor cyclists,Number,0
Killed Casualties,2018,0 - 5 years,Female,All Car users,Number,1
Killed Casualties,2018,0 - 5 years,Female,Car drivers,Number,0
Killed Casualties,2018,0 - 5 years,Female,Car passengers,Number,1
Killed Casualties,2018,0 - 5 years,Female,Other road users,Number,0
Killed Casualties,2018,6 - 9 years,Male,All road users,Number,0
Killed Casualties,2018,6 - 9 years,Male,Pedestrians,Number,0
Killed Casualties,2018,6 - 9 years,Male,Pedal cyclists,Number,0
Killed Casualties,2018,6 - 9 years,Male,Motor cyclists,Number,0
Killed Casualties,2018,6 - 9 years,Male,All Car users,Number,0
Killed Casualties,2018,6 - 9 years,Male,Car drivers,Number,0
Killed Casualties,2018,6 - 9 years,Male,Car passengers,Number,0
Killed Casualties,2018,6 - 9 years,Male,Other road users,Number,0
Killed Casualties,2018,6 - 9 years,Female,All road users,Number,0
Killed Casualties,2018,6 - 9 years,Female,Pedestrians,Number,0
Killed Casualties,2018,6 - 9 years,Female,Pedal cyclists,Number,0
Killed Casualties,2018,6 - 9 years,Female,Motor cyclists,Number,0
Killed Casualties,2018,6 - 9 years,Female,All Car users,Number,0
Killed Casualties,2018,6 - 9 years,Female,Car drivers,Number,0
Killed Casualties,2018,6 - 9 years,Female,Car passengers,Number,0
Killed Casualties,2018,6 - 9 years,Female,Other road users,Number,0
Killed Casualties,2018,10 - 14 years,Male,All road users,Number,2
Killed Casualties,2018,10 - 14 years,Male,Pedestrians,Number,0
Killed Casualties,2018,10 - 14 years,Male,Pedal cyclists,Number,0
Killed Casualties,2018,10 - 14 years,Male,Motor cyclists,Number,0
Killed Casualties,2018,10 - 14 years,Male,All Car users,Number,2
Killed Casualties,2018,10 - 14 years,Male,Car drivers,Number,2
Killed Casualties,2018,10 - 14 years,Male,Car passengers,Number,0
Killed Casualties,2018,10 - 14 years,Male,Other road users,Number,0
Killed Casualties,2018,10 - 14 years,Female,All road users,Number,0
Killed Casualties,2018,10 - 14 years,Female,Pedestrians,Number,0
Killed Casualties,2018,10 - 14 years,Female,Pedal cyclists,Number,0
Killed Casualties,2018,10 - 14 years,Female,Motor cyclists,Number,0
Killed Casualties,2018,10 - 14 years,Female,All Car users,Number,0
Killed Casualties,2018,10 - 14 years,Female,Car drivers,Number,0
Killed Casualties,2018,10 - 14 years,Female,Car passengers,Number,0
Killed Casualties,2018,10 - 14 years,Female,Other road users,Number,0
Killed Casualties,2018,15 - 17 years,Male,All road users,Number,4
Killed Casualties,2018,15 - 17 years,Male,Pedestrians,Number,1
Killed Casualties,2018,15 - 17 years,Male,Pedal cyclists,Number,2
Killed Casualties,2018,15 - 17 years,Male,Motor cyclists,Number,0
Killed Casualties,2018,15 - 17 years,Male,All Car users,Number,1
Killed Casualties,2018,15 - 17 years,Male,Car drivers,Number,0
Killed Casualties,2018,15 - 17 years,Male,Car passengers,Number,1
Killed Casualties,2018,15 - 17 years,Male,Other road users,Number,0
Killed Casualties,2018,15 - 17 years,Female,All road users,Number,1
Killed Casualties,2018,15 - 17 years,Female,Pedestrians,Number,1
Killed Casualties,2018,15 - 17 years,Female,Pedal cyclists,Number,0
Killed Casualties,2018,15 - 17 years,Female,Motor cyclists,Number,0
Killed Casualties,2018,15 - 17 years,Female,All Car users,Number,0
Killed Casualties,2018,15 - 17 years,Female,Car drivers,Number,0
Killed Casualties,2018,15 - 17 years,Female,Car passengers,Number,0
Killed Casualties,2018,15 - 17 years,Female,Other road users,Number,0
Killed Casualties,2018,18 - 20 years,Male,All road users,Number,7
Killed Casualties,2018,18 - 20 years,Male,Pedestrians,Number,1
Killed Casualties,2018,18 - 20 years,Male,Pedal cyclists,Number,1
Killed Casualties,2018,18 - 20 years,Male,Motor cyclists,Number,0
Killed Casualties,2018,18 - 20 years,Male,All Car users,Number,5
Killed Casualties,2018,18 - 20 years,Male,Car drivers,Number,3
